fund_key,nome,cnpj,gestor,classe_anbima,patrimonio_liquido,publico_alvo,taxa_administracao_cvm_mensal_pct,referencia_fundo_kinea,eh_fundo_kinea,source
CNPJ:None,OPPORTUNITY MARKET FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,,OPPORTUNITY GESTÃO DE INVESTIMENTOS E RECURSOS LTDA,Multimercados Macro,15258791.12,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:10.158.115/0001-62,VERDE AM V FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS MULT RESP LIMITADA,10.158.115/0001-62,VERDE ASSET MANAGEMENT S.A.,Multimercados Macro,52206766.53,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:10.295.477/0001-03,KONDOR MASTER FI FINANCEIRO - CI MULT - RESP LIMITADA,10.295.477/0001-03,KONDOR ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA.,Multimercados Macro,133315741.2,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:10.705.273/0001-95,AZ QUEST MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,10.705.273/0001-95,AZ QUEST MZK INVESTIMENTOS MACRO E CRÉDITO LTDA.,Multimercados Macro,68322704.3,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:11.575.074/0001-72,GF MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,11.575.074/0001-72,AMS CAPITAL LTDA,Multimercados Macro,139982723.13,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:11.714.716/0001-77,SANTANDER ALOCAÇÃO MULTIMERCADO MACRO - CIC DE FUNDO DE INVESTIMENTO FIF RESP LIMITADA,11.714.716/0001-77,SANTANDER BRASIL GESTÃO DE RECURSOS LTDA,Multimercados Macro,230124500.29,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:11.714.807/0001-02,SANTANDER MACRO MASTER MULTIMERCADO - CIC FIF RESP LIMITADA,11.714.807/0001-02,SANTANDER BRASIL GESTÃO DE RECURSOS LTDA,Multimercados Macro,421284715.89,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:11.904.064/0001-33,VENTOR DÓLAR HEDGE MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,11.904.064/0001-33,VENTOR INVESTIMENTOS LTDA.,Multimercados Macro,243230765.12,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:11.904.071/0001-35,WHISTLER FIF CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,11.904.071/0001-35,VENTOR INVESTIMENTOS LTDA.,Multimercados Macro,184946780.84,Qualificado,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:12.124.089/0001-87,IBIUNA HEDGE FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA,12.124.089/0001-87,IBIUNA CRÉDITO GESTÃO DE RECURSOS LTDA.,Multimercados Macro,825157292.78,Público Geral,,Kinea Chronos FIM RL - Subclasse I,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
