fund_key,nome_padronizado,cnpj,ticker,tipo_pagina,categoria_padronizada,categoria_bruta,publico_alvo,taxa_administracao_pct,taxa_performance_pct,aplicacao_minima_bruta,cotizacao_resgate_bruta,benchmark,gestor,administrador,custodiante,auditor,data_inicio,risco_pontuacao_xp,dividend_yield,valor_patrimonial_bruto,quantidade_cotistas_bruto,url,source,access_timestamp,extraction_method,status_confirmacao,objetivo,rating_morningstar,volatilidade_atual,drawdown_atual,rentabilidade__no_ano,rentabilidade__12_meses,rentabilidade__24_meses,rentabilidade__36_meses,rentabilidade__desde_o_início,volatilidade__no_ano,volatilidade__12_meses,volatilidade__24_meses,volatilidade__36_meses,volatilidade__desde_o_início,índice_de_sharpe__no_ano,índice_de_sharpe__12_meses,índice_de_sharpe__24_meses,índice_de_sharpe__36_meses,índice_de_sharpe__desde_o_início,rentab_fundo__dia,rentab_fundo__semana,rentab_fundo__mês,rentab_fundo__3_meses,rentab_fundo__6_meses,rentab_fundo__no_ano,benchmark_retorno,rentab_benchmark__dia,rentab_benchmark__semana,rentab_benchmark__mês,rentab_benchmark__3_meses,rentab_benchmark__6_meses,rentab_benchmark__no_ano,status_pl,patrimonio_liquido_cvm,fonte_pl,classe_anbima_cvm,n_concorrentes_com_pl,percentil_pl,pl_sobre_mediana_universo
CNPJ:21.624.757/0001-26,Kinea Chronos FIM RL - Subclasse I,21.624.757/0001-26,,fundo_aberto,Multimercado - Macro,Macro Média Vol,Investidor em Geral,1.5,20.0,R$ 500,D+0,CDI,Kinea Investimentos,Intrag DTVM,Itaú,E&Y,05/06/2015,13.0,,,,https://conteudos.xpi.com.br/fundos-de-investimento/kinea-chronos-fim/,conteudos.xpi.com.br,2026-08-30T19:06:08.190694+00:00,curl_cffi_notebook_local,ficha_coletada,"Aplicar seus recursos em ativos financeiros de diferentes naturezas e características, definindo as estratégias de investimento com base em cenários macro e micro econômicos, sem compromisso de concentração em nenhum ativo ou fator de risco em especial",★★★,"3,04%","-0,02%","7,40%","14,36%","28,06 %","41,20 %","169,86%","3,35%","3,04%","2,65%","2,53%","3,23%","-2,64","-0,61","-0,55","-0,66","0,39",,,,,,,,,,,,,,encontrado,85858346.33,"CVM registro_classe.csv (RCVM175, fundos adaptados)",Multimercados Macro,630,63.2,1.95
CNPJ:16.706.958/0001-32,Kinea Rendimentos Imobiliarios FII (KNCR11),16.706.958/0001-32,KNCR11,fii,Fundo Imobiliário (FII),Títulos e Valores Mobiliários,Não Há Restrição,1.0,,,,,,,,,,,"13,33 %",R$ 7.8 bi,444.4 mil,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-rendimentos-imobiliarios-fii-kncr11/,conteudos.xpi.com.br,2026-08-30T19:06:08.211472+00:00,curl_cffi_notebook_local,ficha_coletada,,,,,,,,,,,,,,,,,,,,"0,23%","-0,04%","-0,42%","1,21%","0,94%","1,90%",IBOV,0%,"1,08%","-2,76%","4,89%","9,67%","18,22%",encontrado,10978689824.66,"CVM inf_mensal_fii_geral (Segmento_Atuacao) + inf_mensal_fii_complemento (Patrimonio_Liquido, Percentual_Despesas_Taxa_Administracao)",FII - Multicategoria,647,100.0,126.39
CNPJ:29.762.315/0001-58,Kinea Atlas II FIM RL - Subclasse I,29.762.315/0001-58,,fundo_aberto,Multimercado - Macro,Macro Alta Vol,Investidor em Geral,2.0,20.0,R$ 500,D+10,CDI,Kinea Investimentos,Intrag DTVM,Itaú,E&Y,29/12/2016,13.0,,,,https://conteudos.xpi.com.br/fundos-de-investimento/kinea-atlas-ii-fim/,conteudos.xpi.com.br,2026-08-30T19:06:08.238805+00:00,curl_cffi_notebook_local,ficha_coletada,"Aplicar seus recursos em ativos financeiros de diferentes naturezas e características, definindo as estratégias de investimento com base em cenários macro e micro econômicos, sem compromisso de concentração em nenhum ativo ou fator de risco em especial.",★★★★,"4,82%","-0,09%","6,21%","15,17%","29,10 %","43,82 %","96,02%","5,29%","4,82%","4,35%","4,18%","4,87%","-1,30","-0,22","-0,09","-0,27","0,35",,,,,,,,,,,,,,encontrado,64238335.24,"CVM registro_classe.csv (RCVM175, fundos adaptados)",Multimercados Macro,630,57.8,1.46
CNPJ:32.990.051/0001-02,Kinea Oportunidade FIF RF CP RL - Subclasse I,32.990.051/0001-02,,fundo_aberto,Renda Fixa,Crédito High Grade,Investidor Qualificado,0.8,0.0,R$ 500,D+90,CDI,Kinea Investimentos,Intrag DTVM,Itaú,PWC,14/04/2020,11.0,,,,https://conteudos.xpi.com.br/fundos-de-investimento/kinea-oportunidade-firf-cp/,conteudos.xpi.com.br,2026-08-30T19:06:08.261221+00:00,curl_cffi_notebook_local,ficha_coletada,"O objetivo do FUNDO é aplicar, no mínimo, 80%  de seus recursos em ativos financeiros de renda fixa
relacionados diretamente, ou sintetizados via derivativos, ao fator de risco que dá nome à classe, observado que a
rentabilidade do FUNDO será impactada pelos custos e despesas do FUNDO, inclusive taxa de administração",,"0,30%",0%,"9,15%","14,93%","30,83 %","49,13 %","85,77%","0,17%","0,30%","0,28%","0,30%","0,70%","11,62","4,09","6,97","5,52","4,41",,,,,,,,,,,,,,encontrado,538088757.53,"CVM registro_classe.csv (RCVM175, fundos adaptados)",Renda Fixa Duração Livre Crédito Livre,2817,88.3,10.55
CNPJ:35.372.771/0001-94,Kinea Gama FIF CIC em Acoes RL - Subclasse I,35.372.771/0001-94,,fundo_aberto,Ações,Renda Variável Long Only,Investidor em Geral,2.0,20.0,R$ 500,D+15,IBOVESPA,Kinea Investimentos,Intrag DTVM,Itaú,Deloitte,20/12/2019,26.0,,,,https://conteudos.xpi.com.br/fundos-de-investimento/kinea-gama-fic-fia/,conteudos.xpi.com.br,2026-08-30T19:06:08.282511+00:00,curl_cffi_notebook_local,ficha_coletada,Proporcionar retorno por meio da aplicação em outros fundos de investimento que alocam em ações de companhias abertas com potencial de valorização e perspectiva de retorno em longo prazo,,"15,03%","-2,56%","-2,51%","15,49%","20,19 %","41,04 %","77,46%","17,51%","15,03%","14,82%","17,18%","24,79%","2,31","0,40","0,29","-0,04","0,21",,,,,,,,,,,,,,encontrado,108360.31,"CVM registro_classe.csv (RCVM175, fundos adaptados)",Ações Livre,1853,0.6,0.0
CNPJ:39.586.858/0001-15,Kinea IPCA Dinamico II FIF RF RL - Subclasse II,39.586.858/0001-15,,fundo_aberto,Renda Fixa,Renda Fixa Ativo,Investidor em Geral,0.66,0.0,R$ 500,D+0,IPCA,Kinea Investimentos,Intrag DTVM,Itaú,PWC,23/12/2020,11.0,,,,https://conteudos.xpi.com.br/fundos-de-investimento/kinea-ipca-dinamico-ii-advisory-fic-firf/,conteudos.xpi.com.br,2026-08-30T19:06:08.304183+00:00,curl_cffi_notebook_local,ficha_coletada,O Kinea IPCA Dinâmico é um fundo de renda fixa de perfil de risco moderado indexado à inflação que busca as melhores soluções nos mercados de renda fixa e moedas no Brasil e exterior.,,"2,74%","-0,28%","8,95%","13,66%","24,18 %","35,51 %","62,75%","2,48%","2,74%","2,48%","2,62%","3,10%","-1,95","-0,93","-0,18","0,09","0,50",,,,,,,,,,,,,,encontrado,70341518.17,"CVM registro_classe.csv (RCVM175, fundos adaptados)",Renda Fixa Duração Livre Crédito Livre,2817,57.5,1.38
CNPJ:43.636.203/0001-81,Kinea Alpes Prev XP Seg RF CP FICFI,43.636.203/0001-81,,previdencia,Multimercado,Multimercado,,1.0,,R$ 100,,CDI,,,,,,3.0,,,,https://conteudos.xpi.com.br/previdencia-privada/kinea-alpes-prev-xp-seg-rf-cp-ficfi/,conteudos.xpi.com.br,2026-08-30T19:06:08.343345+00:00,curl_cffi_notebook_local,ficha_coletada,,,"0,23%",,"8,35 %","13,83 %",-,-,"61,59%","0,23%","0,39%","0,33%","0,33%","0,38%","5,54","0,60","2,51","3,06","2,31",,,,,,,,,,,,,,encontrado,6453378734.47,"CVM registro_classe.csv (RCVM175, fundos adaptados)",Previdência Multimercado Livre,2428,99.5,154.46
CNPJ:12.005.956/0001-65,Kinea Renda Imobiliaria FII (KNRI11),12.005.956/0001-65,KNRI11,fii,Fundo Imobiliário (FII),Híbrido,Não Há Restrição,1.25,,,,,,,,,,,"8,37 %",R$ 4.6 bi,299.9 mil,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-renda-imobiliaria-fii-knri11/,conteudos.xpi.com.br,2026-08-30T19:06:08.360211+00:00,curl_cffi_notebook_local,ficha_coletada,,,,,,,,,,,,,,,,,,,,"-0,27%","-0,10%","-1,62%","0,42%","2,31%","6,35%",IBOV,0%,"1,08%","-2,76%","4,89%","9,67%","18,22%",encontrado,4608084808.54,"CVM inf_mensal_fii_geral (Segmento_Atuacao) + inf_mensal_fii_complemento (Patrimonio_Liquido, Percentual_Despesas_Taxa_Administracao)",FII - Multicategoria,647,99.2,53.05
CNPJ:24.960.430/0001-13,Kinea Indices de Precos FII (KNIP11),24.960.430/0001-13,KNIP11,fii,Fundo Imobiliário (FII),Títulos e Valores Mobiliários,Não Há Restrição,1.0,,,,,,,,,,,"11,38 %",R$ 7.3 bi,72.2 mil,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-indices-de-precos-fii-knip11/,conteudos.xpi.com.br,2026-08-30T19:06:08.376145+00:00,curl_cffi_notebook_local,ficha_coletada,,,,,,,,,,,,,,,,,,,,"-0,61%","-0,34%","-0,17%","-0,99%","-2,72%","-2,96%",IBOV,0%,"1,08%","-2,76%","4,89%","9,67%","18,22%",encontrado,7435551675.84,"CVM inf_mensal_fii_geral (Segmento_Atuacao) + inf_mensal_fii_complemento (Patrimonio_Liquido, Percentual_Despesas_Taxa_Administracao)",FII - Multicategoria,647,99.7,85.6
CNPJ:26.324.298/0001-89,Kinea Infra FII (KDIF11),26.324.298/0001-89,KDIF11,fii,Renda Fixa,Outros,,1.05,,,,,,,,,,,"14,08 %",,,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-infra-kdif11/,conteudos.xpi.com.br,2026-08-30T19:06:08.390364+00:00,curl_cffi_notebook_local,ficha_coletada,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,IBOV,0%,0%,0%,0%,0%,0%,encontrado,2787519980.59,"CVM registro_classe.csv (RCVM175, fundos adaptados)",Renda Fixa Duração Livre Crédito Livre,2817,97.2,54.66
