nome_referencia,url,tipo_pagina,source,access_timestamp,extraction_method,http_status,titulo_pagina,erro,administrador,aplicacao_minima,auditor,benchmark,classificacao_cvm,classificacao_xp,cnpj,cotas_emitidas,cotizacao_aplicacao,cotizacao_resgate,custodiante,data_inicio,dividend_yield,gestor,liquidacao_resgate,movimentacao_minima,objetivo,participacao_ifix,politica_gestao,publico_alvo,quantidade_cotistas,rating_morningstar,rent_cdi_3m,rent_cdi_6m,rent_cdi_dia,rent_cdi_mes,rent_cdi_no_ano,rent_cdi_semana,rent_fundo_3m,rent_fundo_6m,rent_fundo_dia,rent_fundo_mes,rent_fundo_no_ano,rent_fundo_semana,rent_ibov_3m,rent_ibov_6m,rent_ibov_dia,rent_ibov_mes,rent_ibov_no_ano,rent_ibov_semana,risco_pontuacao_xp,rr_rentabilidade_12m,rr_rentabilidade_24m,rr_rentabilidade_36m,rr_rentabilidade_desde_inicio,rr_rentabilidade_no_ano,rr_sharpe_12m,rr_sharpe_24m,rr_sharpe_36m,rr_sharpe_desde_inicio,rr_sharpe_no_ano,rr_volatilidade_12m,rr_volatilidade_24m,rr_volatilidade_36m,rr_volatilidade_desde_inicio,rr_volatilidade_no_ano,saldo_minimo_permanencia,segmento,taxa_administracao,taxa_administracao_maxima,taxa_performance,tributacao,ultimo_dividendo,valor_patrimonial
SPX Seahawk Icatu Previdencia FICFIM Multimercado Credito Privado,https://conteudos.xpi.com.br/previdencia-privada/spx-seahawk-icatu-previdencia-ficfi-multimercado-credito-privado/,previdencia,conteudos.xpi.com.br (Expert XP),2026-08-30T19:40:48.912041+00:00,requests_bs4_local,200,Resumo - Spx Seahawk Icatu Previdência Ficfi Multimercado Crédito Privado - Previdência Privada - XP Investimentos,,,R$ 500,,,Multimercado,,42.014.145/0001-91,,,,,,,,D+1,,,,,,,,,,,,,,,,,,,,,,,,,,8,"15,56 %",,,"51,92%","14,14 %","-0,11","1,61","0,09","-0,13","0,29","1,79%","1,70%","2,07%","2,03%","1,78%",,,"0,80 %",,,"Tabela progressiva: IR de 15% na fonte com reajuste na declaração anual de imposto de renda pessoa física conforme tabela, podendo variar de 0%  a 27,5% (pagamento de até 12,5% além do retido na fonte). Tabela regressiva: IR de 35% no primeiro ano, reduzindo 5% a cada dois anos e chegando a 10% após dez anos, respeitando a regra do primeiro que entra primeiro que sai.",,
Ibiuna ST Prev Icatu FIM Multimercado Credito Privado,https://conteudos.xpi.com.br/previdencia-privada/ibiuna-st-prev-icatu-fundo-de-investimento-multimercado-credito-privado/,previdencia,conteudos.xpi.com.br (Expert XP),2026-08-30T19:40:52.122809+00:00,requests_bs4_local,200,Resumo - IBIUNA ST PREV ICATU FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - Previdência Privada - XP Investimentos,,,R$ 500,,,Multimercado,,45.511.041/0001-80,,,,,,,,D+1,,,,,,,,,,,,,,,,,,,,,,,,,,14,"6,29 %",,,"18,99%","2,65 %","-0,18","-0,57","-1,17","-1,17","-0,97","4,48%","4,42%","4,89%","4,89%","4,06%",,,"2,00 %",,,"Tabela progressiva: IR de 15% na fonte com reajuste na declaração anual de imposto de renda pessoa física conforme tabela, podendo variar de 0%  a 27,5% (pagamento de até 12,5% além do retido na fonte). Tabela regressiva: IR de 35% no primeiro ano, reduzindo 5% a cada dois anos e chegando a 10% após dez anos, respeitando a regra do primeiro que entra primeiro que sai.",,
Itau Sinfonia XP Seg Prev FIC Multimercado Credito Privado,https://conteudos.xpi.com.br/previdencia-privada/itau-sinfonia-xp-seg-prev-fundo-de-investimento-em-cotas-multimercado-credito-privado-responsabilidade-limitada/,previdencia,conteudos.xpi.com.br (Expert XP),2026-08-30T19:40:55.404062+00:00,requests_bs4_local,200,Resumo - Itaú Sinfonia Xp Seg Prev Ficfim Cp Rl - Previdência Privada - XP Investimentos,,,R$ 100,,CDI,Renda Fixa,,47.020.727/0001-02,,,,,,,,D+1,,,,,,,,,,,,,,,,,,,,,,,,,,3,"14,09 %",,,"17,89%","8,85 %","1,54",,,"2,23","3,70","0,30%",,,"0,28%","0,25%",,,"0,64 %",,,"Tabela progressiva: IR de 15% na fonte com reajuste na declaração anual de imposto de renda pessoa física conforme tabela, podendo variar de 0%  a 27,5% (pagamento de até 12,5% além do retido na fonte). Tabela regressiva: IR de 35% no primeiro ano, reduzindo 5% a cada dois anos e chegando a 10% após dez anos, respeitando a regra do primeiro que entra primeiro que sai.",,
Sparta Debentures Incentivadas FIC FI-Infra RF,https://conteudos.xpi.com.br/fundos-de-investimento/sparta-debentures-incentivadas-firf-cp/,fundo_aberto,conteudos.xpi.com.br (Expert XP),2026-08-30T19:40:58.449874+00:00,requests_bs4_local,200,Sparta Debêntures Incentivadas FIC FIF-Infra RF RL: Cotação e Indicadores | Expert XP,,BNY Mellon DTVM,R$ 1 mil,KPMG,CDI,Renda Fixa Pós-Fixado,Debêntures Incentivadas Hedgeado,26.759.909/0001-11,,D+1,D+30,BNY Mellon,30/06/2017,,Sparta Investimentos,D+1,R$ 100,100% do CDI isento,,Fundo Isento de IR que investe em ativos de renda fixa e cotas de fundos de investimento de renda fixa. A maior parte do patrimônio é aplicada em debêntures de infraestrutura e outros ativos previstos na Lei 12.431,Investidor em Geral,,★★,,,,,,,,,,,,,,,,,,,11,"11,81%","27,18 %","45,40 %","120,81%","6,72%","1,11","1,59","1,33","1,16","2,20","1,32%","1,43%","1,47%","1,21%","1,29%",R$ 100,,"0,80 %","0,85 %","0,00 %",Debêntures Incentivadas - Isento de IR para pessoa física.,,
Itau Debentures Incentivadas FIF CIC em Infra,https://conteudos.xpi.com.br/fundos-de-investimento/itau-debentures-incentivadas-fc-incentivado-investimento-inf/,fundo_aberto,conteudos.xpi.com.br (Expert XP),2026-08-30T19:41:01.680653+00:00,requests_bs4_local,200,Itaú Debêntures Incentivadas FIF CIC em Infra RF CP RL: Cotação e Indicadores | Expert XP,,Intrag DTVM,R$ 500,Deloitte,IMA-B,Renda Fixa Pré-Fixado/Inflação,Debêntures Incentivadas Não Hedgeado,45.512.169/0001-69,,D+0,D+21,Itaú,27/09/2022,,Itaú Unibanco Asset,D+1,R$ 500,Retorno acima das Bs de referência da duration proxima ao IMA-B com risco de crédito,,"O objetivo do FUNDO é aplicar, no mínimo, 95%  de seu patrimônio líquido em cotas de fundos de investimento e classificados como “Renda Fixa” que invistam preponderantemente em debêntures e outros ativos de infraestrutura que atendam aos requisitos de isenção estabelecidos na Lei nº 12.431, de 24 de junho de 2011 (“Ativos de Infraestrutura” e “Lei nº 12.431/2011”, respectivamente), conforme alterada não podendo ser inferior a 85% (oitenta e cinco por cento) do valor de referência do Fundo Investido.",Investidor em Geral,,,,,,,,,,,,,,,,,,,,,11,"7,85%","13,26 %","21,84 %","30,55%","4,69%","-0,70","-0,57","-0,51","-0,56","0,49","6,01%","5,34%","5,37%","5,35%","4,82%",R$ 500,,"0,85 %","0,95 %","0,00 %",Debêntures Incentivadas,,
SulAmerica Infra FI Infra RF,https://conteudos.xpi.com.br/fundos-de-investimento/sulamerica-debentures-incentivadas-fim-cp/,fundo_aberto,conteudos.xpi.com.br (Expert XP),2026-08-30T19:41:06.123742+00:00,requests_bs4_local,200,SulAmérica INFRA FI INFRA RF: Cotação e Indicadores | Expert XP,,SulAmérica DTVM,R$ 1 mil,Deloitte,IMA-B 5,Renda Fixa Pré-Fixado/Inflação,Debêntures Incentivadas Não Hedgeado,22.759.995/0001-01,,D+0,D+45,Bradesco,10/05/2017,,SulAmérica Investimentos,D+1,R$ 1 mil,"O objetivo do Fundo é acompanhar, a médio/longo prazo, a variação do IMA-B5.",,"O Fundo aplicará seus recursos preponderantemente em debêntures de infraestrutura elegíveis na Lei 12.431/2011  e ainda em: I) Até 100% em Títulos Públicos de emissão do Tesouro Nacional e do Banco Central do Brasil e/ou operações compromissadas nesses títulos; II) Até 100% em Títulos de emissão ou coobrigação de Instituição Financeira; III) Até 100% em valores mobiliários objetos de oferta pública na CVM; e até 20% em cota de fundos, FIDC e/ou CRI.",Investidor em Geral,,★★★,,,,,,,,,,,,,,,,,,,11,"9,53%","18,88 %","29,73 %","114,44%","5,10%","-0,69","-0,59","-0,72","0,24","0,48","3,11%","2,78%","2,88%","3,75%","2,60%",R$ 1 mil,,"0,80 %","0,80 %","0,00 %",Debêntures Incentivadas - Isento de IR para pessoa física.,,
Devant Recebiveis Imobiliarios FII (DEVA11),https://conteudos.xpi.com.br/fundos-imobiliarios/devant-recebiveis-imobiliarios-fii-deva11/,fii,conteudos.xpi.com.br (Expert XP),2026-08-30T19:41:09.538076+00:00,requests_bs4_local,200,DEVANT RECEBÍVEIS IMOBILIÁRIOS FII - DEVA11: Dividendos e Cotação | Expert XP,,,,,,,,,14 mi,,,,,"22,61 %",,,,,"0,25%",,Não Há Restrição,84.1 mil,,"3,64%","7,13%",0%,"0,66%","11,09%","0,22%","-24,44%","-14,08%","-0,11%","-3,72%","-13,40%","-1,17%","4,89%","9,67%",0%,"-2,76%","18,22%","1,08%",,,,,,,,,,,,,,,,,,Títulos e Valores Mobiliários,"1,00 %",,,,"R$ 0,30",R$ 1.4 bi
Valora CRI Indice de Preco FII (VGIP11),https://conteudos.xpi.com.br/fundos-imobiliarios/valora-cri-indice-de-preco-fii-vgip11/,fii,conteudos.xpi.com.br (Expert XP),2026-08-30T19:41:12.670979+00:00,requests_bs4_local,200,VALORA CRI ÍNDICE DE PREÇO FII - VGIP11: Dividendos e Cotação | Expert XP,,,,,,,,,11.8 mi,,,,,"13,69 %",,,,,"0,65%",,Não Há Restrição,84.3 mil,,"3,64%","7,13%",0%,"0,66%","11,09%","0,22%","-6,31%","-1,96%","-0,34%","-2,77%","-1,36%","-1,95%","4,89%","9,67%",0%,"-2,76%","18,22%","1,08%",,,,,,,,,,,,,,,,,,Títulos e Valores Mobiliários,"1,00 %",,,,"R$ 1,06",R$ 1 bi
Sparta Top FIC FI RF Credito Privado Longo Prazo,https://conteudos.xpi.com.br/fundos-de-investimento/sparta-top-fic-fi-rf-credito-privado-longo-prazo/,fundo_aberto,conteudos.xpi.com.br (Expert XP),2026-08-30T19:41:15.948032+00:00,requests_bs4_local,200,Sparta Top FIC FIF RF CP LP - Resp Limitada: Cotação e Indicadores | Expert XP,,BNY Mellon DTVM,R$ 1 mil,KPMG,CDI,Renda Fixa Pós-Fixado,Crédito High Grade,14.188.162/0001-00,,D+0,D+30,BNY Mellon,07/02/2012,,Sparta Investimentos,D+1,R$ 100,Buscar retorno de renda fixa consistentes acima do CDI.,,"O fundo aplica no mínimo 95% de seus recursos em cotas do fundo Sparta Top Renda Fixa Master CP FI LP, cuja política de investimento consiste em investir seus recursos em títulos públicos, títulos privados, cotas de fundos de investimentos relacionados a taxas de juros pré-fixadas, pós-fixadas ou índices de preços, com o objetivo de obter retornos acima do CDI.",Investidor em Geral,,★★★★,,,,,,,,,,,,,,,,,,,6,"14,33%","29,40 %","47,21 %","281,47%","9,24%","-0,76","2,75","0,49","1,21","0,11","0,40%","0,35%","0,70%","0,61%","0,39%",R$ 100,,"0,30 %","0,75 %","20,00 %","Longo Prazo - Alíquota regressiva de IR de 22,5% a 15,0% incidida sobre o lucro obtido no momento do resgate.",,
JGP Corporate FIC FIF RF CP LP Feeder III,https://conteudos.xpi.com.br/fundos-de-investimento/jgp-corporate-fic-firf-cp-lp-feeder-iii/,fundo_aberto,conteudos.xpi.com.br (Expert XP),2026-08-30T19:41:19.195930+00:00,requests_bs4_local,200,JGP Corporate FIC de FIF RF CP LP FEEDER II RL: Cotação e Indicadores | Expert XP,,BNY Mellon DTVM,R$ 1 mil,KPMG,CDI,Renda Fixa Pós-Fixado,Crédito High Grade,23.956.069/0001-99,,D+0,D+45,BNY Mellon,14/06/2016,,LETO ASSET MANAGEMENT LTDA,D+1,R$ 1 mil,"O Fundo Master, por sua vez, tem como objetivo obter ganhos de capital através da aplicação de, no mínimo, 80%  dos seus recursos em ativos relacionados diretamente, ou sintetizados via derivativos, à variação da taxa de juros doméstica. O Fundo Master realizará, investimentos, preferencialmente, em títulos de dívida privada, tais como debêntures, letras financeiras, entre outros. E poderá se utilizar, entre outros, de mecanismos de hedge, operações de arbitragem e estratégias ativas com derivativos para alcançar seus objetivos. A exposição do Fundo Master dependerá, entre outros fatores, da liquidez e volatilidade dos mercados em que estiver atuando.",,"O FUNDO busca proporcionar aos cotistas a valorização de suas cotas através da aplicação de, no mínimo, 95%  dos seus recursos em cotas do JGP CORPORATE MASTER FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO, inscrito no CNPJ sob o nº 20.833.920/0001-06 (“Fundo Master”), administrado pelo ADMINISTRADOR e gerido pela GESTORA.",Investidor em Geral,,,,,,,,,,,,,,,,,,,,,11,"15,20%","30,23 %","49,03 %","144,84%","9,93%","-0,64","2,07","1,25","1,09","-0,72","0,65%","0,52%","0,53%","0,91%","0,67%",R$ 1 mil,,"0,60 %","1,95 %","20,00 %","Longo Prazo - Alíquota regressiva de IR de 22,5% a 15,0% incidida sobre o lucro obtido no momento do resgate.",,
