nome_referencia,cnpj,ticker,tipo_pagina,categoria_bruta,publico_alvo,taxa_administracao,taxa_performance,aplicacao_minima,cotizacao_resgate,url,source,access_timestamp,extraction_method,status_confirmacao,erro,volatilidade_atual,drawdown_atual,liquidacao_resgate,benchmark,classificacao_xp,gestor,administrador,custodiante,auditor,risco_pontuacao_xp,data_inicio,classificacao_cvm,rating_morningstar,objetivo,tributacao,rentabilidade__no_ano,rentabilidade__12_meses,rentabilidade__24_meses,rentabilidade__36_meses,rentabilidade__desde_o_início,volatilidade__no_ano,volatilidade__12_meses,volatilidade__24_meses,volatilidade__36_meses,volatilidade__desde_o_início,índice_de_sharpe__no_ano,índice_de_sharpe__12_meses,índice_de_sharpe__24_meses,índice_de_sharpe__36_meses,índice_de_sharpe__desde_o_início,segmento,dividend_yield,valor_patrimonial,quantidade_cotistas,rentab_fundo__dia,rentab_fundo__semana,rentab_fundo__mês,rentab_fundo__3_meses,rentab_fundo__6_meses,rentab_fundo__no_ano,benchmark_retorno,rentab_benchmark__dia,rentab_benchmark__semana,rentab_benchmark__mês,rentab_benchmark__3_meses,rentab_benchmark__6_meses,rentab_benchmark__no_ano
Kinea Chronos FIM RL - Subclasse I,21.624.757/0001-26,,fundo_aberto,,Investidor em Geral,"1,50 %","20,00 %",R$ 500,D+0,https://conteudos.xpi.com.br/fundos-de-investimento/kinea-chronos-fim/,conteudos.xpi.com.br,2026-08-30T19:06:08.190694+00:00,curl_cffi_notebook_local,,,"3,04%","-0,02%",D+1,CDI,Macro Média Vol,Kinea Investimentos,Intrag DTVM,Itaú,E&Y,13,05/06/2015,Multimercado,★★★,"Aplicar seus recursos em ativos financeiros de diferentes naturezas e características, definindo as estratégias de investimento com base em cenários macro e micro econômicos, sem compromisso de concentração em nenhum ativo ou fator de risco em especial","Longo Prazo - Alíquota regressiva de IR de 22,5% a 15,0% incidida sobre o lucro obtido no momento do resgate.","7,40%","14,36%","28,06 %","41,20 %","169,86%","3,35%","3,04%","2,65%","2,53%","3,23%","-2,64","-0,61","-0,55","-0,66","0,39",,,,,,,,,,,,,,,,,
Kinea Rendimentos Imobiliarios FII (KNCR11),,,fii,,Não Há Restrição,"1,00 %",,,,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-rendimentos-imobiliarios-fii-kncr11/,conteudos.xpi.com.br,2026-08-30T19:06:08.211472+00:00,curl_cffi_notebook_local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Títulos e Valores Mobiliários,"13,33 %",R$ 7.8 bi,444.4 mil,"0,23%","-0,04%","-0,42%","1,21%","0,94%","1,90%",IBOV,0%,"1,08%","-2,76%","4,89%","9,67%","18,22%"
Kinea Atlas II FIM RL - Subclasse I,29.762.315/0001-58,,fundo_aberto,,Investidor em Geral,"2,00 %","20,00 %",R$ 500,D+10,https://conteudos.xpi.com.br/fundos-de-investimento/kinea-atlas-ii-fim/,conteudos.xpi.com.br,2026-08-30T19:06:08.238805+00:00,curl_cffi_notebook_local,,,"4,82%","-0,09%",D+1,CDI,Macro Alta Vol,Kinea Investimentos,Intrag DTVM,Itaú,E&Y,13,29/12/2016,Multimercado,★★★★,"Aplicar seus recursos em ativos financeiros de diferentes naturezas e características, definindo as estratégias de investimento com base em cenários macro e micro econômicos, sem compromisso de concentração em nenhum ativo ou fator de risco em especial.","Longo Prazo - Alíquota regressiva de IR de 22,5% a 15,0% incidida sobre o lucro obtido no momento do resgate.","6,21%","15,17%","29,10 %","43,82 %","96,02%","5,29%","4,82%","4,35%","4,18%","4,87%","-1,30","-0,22","-0,09","-0,27","0,35",,,,,,,,,,,,,,,,,
Kinea Oportunidade FIF RF CP RL - Subclasse I,32.990.051/0001-02,,fundo_aberto,,Investidor Qualificado,"0,80 %","0,00 %",R$ 500,D+90,https://conteudos.xpi.com.br/fundos-de-investimento/kinea-oportunidade-firf-cp/,conteudos.xpi.com.br,2026-08-30T19:06:08.261221+00:00,curl_cffi_notebook_local,,,"0,30%",0%,D+1,CDI,Crédito High Grade,Kinea Investimentos,Intrag DTVM,Itaú,PWC,11,14/04/2020,Renda Fixa Pós-Fixado,,"O objetivo do FUNDO é aplicar, no mínimo, 80%  de seus recursos em ativos financeiros de renda fixa
relacionados diretamente, ou sintetizados via derivativos, ao fator de risco que dá nome à classe, observado que a
rentabilidade do FUNDO será impactada pelos custos e despesas do FUNDO, inclusive taxa de administração",Longo Prazo,"9,15%","14,93%","30,83 %","49,13 %","85,77%","0,17%","0,30%","0,28%","0,30%","0,70%","11,62","4,09","6,97","5,52","4,41",,,,,,,,,,,,,,,,,
Kinea Gama FIF CIC em Acoes RL - Subclasse I,35.372.771/0001-94,,fundo_aberto,,Investidor em Geral,"2,00 %","20,00 %",R$ 500,D+15,https://conteudos.xpi.com.br/fundos-de-investimento/kinea-gama-fic-fia/,conteudos.xpi.com.br,2026-08-30T19:06:08.282511+00:00,curl_cffi_notebook_local,,,"15,03%","-2,56%",D+2,IBOVESPA,Renda Variável Long Only,Kinea Investimentos,Intrag DTVM,Itaú,Deloitte,26,20/12/2019,Renda Variável,,Proporcionar retorno por meio da aplicação em outros fundos de investimento que alocam em ações de companhias abertas com potencial de valorização e perspectiva de retorno em longo prazo,Renda Variável,"-2,51%","15,49%","20,19 %","41,04 %","77,46%","17,51%","15,03%","14,82%","17,18%","24,79%","2,31","0,40","0,29","-0,04","0,21",,,,,,,,,,,,,,,,,
Kinea IPCA Dinamico II FIF RF RL - Subclasse II,39.586.858/0001-15,,fundo_aberto,,Investidor em Geral,"0,66 %","0,00 %",R$ 500,D+0,https://conteudos.xpi.com.br/fundos-de-investimento/kinea-ipca-dinamico-ii-advisory-fic-firf/,conteudos.xpi.com.br,2026-08-30T19:06:08.304183+00:00,curl_cffi_notebook_local,,,"2,74%","-0,28%",D+1,IPCA,Renda Fixa Ativo,Kinea Investimentos,Intrag DTVM,Itaú,PWC,11,23/12/2020,Renda Fixa Pré-Fixado/Inflação,,O Kinea IPCA Dinâmico é um fundo de renda fixa de perfil de risco moderado indexado à inflação que busca as melhores soluções nos mercados de renda fixa e moedas no Brasil e exterior.,"Longo Prazo - Alíquota regressiva de IR de 22,5% a 15,0% incidida sobre o lucro obtido no momento do resgate.","8,95%","13,66%","24,18 %","35,51 %","62,75%","2,48%","2,74%","2,48%","2,62%","3,10%","-1,95","-0,93","-0,18","0,09","0,50",,,,,,,,,,,,,,,,,
Kinea Alpes Prev XP Seg RF CP FICFI,43.636.203/0001-81,,previdencia,,,"1,00 %",,R$ 100,,https://conteudos.xpi.com.br/previdencia-privada/kinea-alpes-prev-xp-seg-rf-cp-ficfi/,conteudos.xpi.com.br,2026-08-30T19:06:08.343345+00:00,curl_cffi_notebook_local,,,"0,23%",,D+1,CDI,,,,,,3,,Multimercado,,,"Tabela progressiva: IR de 15% na fonte com reajuste na declaração anual de imposto de renda pessoa física conforme tabela, podendo variar de 0%  a 27,5% (pagamento de até 12,5% além do retido na fonte). Tabela regressiva: IR de 35% no primeiro ano, reduzindo 5% a cada dois anos e chegando a 10% após dez anos, respeitando a regra do primeiro que entra primeiro que sai.","8,35 %","13,83 %",-,-,"61,59%","0,23%","0,39%","0,33%","0,33%","0,38%","5,54","0,60","2,51","3,06","2,31",,,,,,,,,,,,,,,,,
Kinea Renda Imobiliaria FII (KNRI11),,,fii,,Não Há Restrição,"1,25 %",,,,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-renda-imobiliaria-fii-knri11/,conteudos.xpi.com.br,2026-08-30T19:06:08.360211+00:00,curl_cffi_notebook_local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Híbrido,"8,37 %",R$ 4.6 bi,299.9 mil,"-0,27%","-0,10%","-1,62%","0,42%","2,31%","6,35%",IBOV,0%,"1,08%","-2,76%","4,89%","9,67%","18,22%"
Kinea Indices de Precos FII (KNIP11),,,fii,,Não Há Restrição,"1,00 %",,,,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-indices-de-precos-fii-knip11/,conteudos.xpi.com.br,2026-08-30T19:06:08.376145+00:00,curl_cffi_notebook_local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Títulos e Valores Mobiliários,"11,38 %",R$ 7.3 bi,72.2 mil,"-0,61%","-0,34%","-0,17%","-0,99%","-2,72%","-2,96%",IBOV,0%,"1,08%","-2,76%","4,89%","9,67%","18,22%"
Kinea Infra FII (KDIF11),,,fii,,,"1,05 %",,,,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-infra-kdif11/,conteudos.xpi.com.br,2026-08-30T19:06:08.390364+00:00,curl_cffi_notebook_local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outros,"14,08 %",,,0%,0%,0%,0%,0%,0%,IBOV,0%,0%,0%,0%,0%,0%
Kinea Fundo de Fundos Imobiliarios FII (KFOF11),,,fii,,Não Há Restrição,"0,92 %",,,,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-fundo-de-fundos-imobiliarios-fii-kfof11/,conteudos.xpi.com.br,2026-08-30T19:06:08.406856+00:00,curl_cffi_notebook_local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Títulos e Valores Mobiliários,"12,83 %",R$ 633 mi,29.7 mil,"-0,62%","0,78%","-0,50%","-1,21%","2,62%","11,82%",IBOV,0%,"1,08%","-2,76%","4,89%","9,67%","18,22%"
Kinea Credito Agro FIAGRO FII (KNCA11),,,fii,,,"1,00 %",,,,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-credito-agro-fiagro-fii-knca11/,conteudos.xpi.com.br,2026-08-30T19:06:08.422239+00:00,curl_cffi_notebook_local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Títulos e Valores Mobiliários,"14,82 %",,,0%,0%,0%,0%,0%,0%,IBOV,0%,0%,0%,0%,0%,0%
Kinea High Yield CRI FII (KNHY11),,,fii,,Não Há Restrição,"1,60 %",,,,https://conteudos.xpi.com.br/fundos-imobiliarios/kinea-high-yield-cri-fii-knhy11/,conteudos.xpi.com.br,2026-08-30T19:06:08.437730+00:00,curl_cffi_notebook_local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Títulos e Valores Mobiliários,"13,75 %",R$ 3 bi,26 mil,"-0,45%","-0,16%","-1,55%","-1,57%","-1,08%","-1,90%",IBOV,0%,"1,08%","-2,76%","4,89%","9,67%","18,22%"
